survey_year,season,s1q2,s2q4,CropCategory,s2q21,s2q28,storage_type_clean,plot_weight,total_loss_kg,loss_rate_pct,s2q41,s2q42,s2q43,s2q44,s2q45,s2q46,s2q47,s2q48,s2q49,s2q50
2024,A,Gasabo,Napia grass for fodder,Fodder crops,173325.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,A,Gasabo,Maize for fodder,Fodder crops,951583.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,A,Gasabo,Mucuna,Fodder crops,19401.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,A,Gasabo,Soybean for fodder,Fodder crops,6.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,A,Gasabo,Soybean for fodder,Fodder crops,70.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,A,Gasabo,Maize for fodder,Fodder crops,12754.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,A,Gasabo,Desmodium,Fodder crops,16188.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,A,Gasabo,Mucuna,Fodder crops,18977.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,A,Gasabo,Other fodder crop (specify),Fodder crops,3500.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,A,Gasabo,Maize,Maize,106240.0,400.0,,1.0,310.0,0.29,250.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,A,Gasabo,Other fodder crop (specify),Fodder crops,1920.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,A,Gasabo,Soybean for fodder,Fodder crops,138.0,,,1.0,8.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
2024,A,Gasabo,Maize,Maize,32400.0,400.0,,1.0,50.0,0.15,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,A,Gasabo,Macadamia,Other crops,8703.0,1000.0,,1.0,420.0,4.83,0.0,0.0,0.0,0.0,20.0,20.0,0.0,360.0,0.0,20.0
2024,A,Gasabo,Maize,Maize,2200.0,400.0,,1.0,50.0,2.27,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,A,Gasabo,Amaranth,Vegetables,240.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,A,Gasabo,Macadamia,Other crops,2600.0,1000.0,,1.0,420.0,16.15,0.0,0.0,0.0,0.0,20.0,20.0,0.0,360.0,0.0,20.0
2024,A,Gasabo,Other annual crops (specify).,Other crops,7000.0,120.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,A,Gasabo,Tomato,Vegetables,2450.0,300.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
